image_k_minus feature_k_minus_x_coord feature_k_minus_y_coord image_k feature_k_x_coord feature_k_y_coord 3d_world_pt_x 3d_world_pt_y 3d_world_pt_z
1 636.595 329.702 2 640.742 329.702 -7.04147 -0.653601 31.5896
1 510.106 124.416 2 510.106 124.416 -0.0401634 6.8507 17.9644
1 833.587 271.642 2 848.103 271.642 -48.0471 7.31179 83.4317
1 584.755 209.434 2 584.755 209.434 -2.80489 4.22563 19.8165
1 402.278 302.746 2 404.352 302.746 5.16746 0.799786 23.0903
1 839.808 176.256 2 854.323 176.256 -48.2987 22.0389 82.0947
1 534.989 369.101 2 534.989 369.101 -0.864399 -1.84049 19.115
1 512.594 114.463 2 512.594 114.463 -0.128845 7.20159 17.9751
1 915.702 231.414 2 930.632 231.414 -70.0286 15.6401 96.5542
1 813.681 303.575 2 826.122 303.575 -41.1261 2.07796 76.1856
1 408.085 186.624 2 410.573 186.624 4.81968 6.02811 22.886
1 786.309 311.04 2 796.263 311.04 -24.5675 0.669139 49.6115
1 179.159 425.503 2 176.671 425.503 7.53632 -2.45391 11.7588
1 584.755 209.019 2 584.755 209.019 -2.80498 4.24156 19.8165
1 246.344 442.921 2 241.367 442.921 5.13191 -2.52949 10.4236
1 833.587 256.297 2 848.517 256.297 -47.9795 9.72586 83.2932
1 450.386 440.433 2 440.433 440.433 0.870581 -2.48016 10.5388
1 582.267 223.949 2 582.267 223.949 -2.71909 3.694 19.9498
1 564.849 340.9 2 564.849 340.9 -2.35115 -1.07633 25.7813
1 587.244 233.902 2 589.732 233.902 -2.91031 3.30931 19.9669
1 587.244 360.806 2 589.732 360.806 -3.03711 -1.7277 21.4959
1 836.076 295.612 2 848.02 295.612 -49.9623 3.62614 86.1504
1 752.468 214.991 2 764.412 214.991 -41.7523 19.4415 98.5019
1 588.239 232.907 2 588.239 232.907 -2.95105 3.351 19.9889
1 585.253 209.019 2 585.253 209.019 -2.82617 4.24607 19.839
1 827.118 256.795 2 842.048 256.795 -47.4275 9.75098 84.0955
1 558.379 229.921 2 561.365 229.921 -1.86893 3.75735 21.5735
1 206.033 432.968 2 201.554 432.968 6.34829 -2.44604 10.9545
1 418.038 131.383 2 421.024 131.383 4.35582 8.51316 22.8996
1 209.019 188.117 2 223.949 188.117 70.4397 29.1061 108.955
1 435.954 435.954 2 426.996 435.954 1.1501 -2.36515 10.4339
1 241.865 200.061 2 256.795 200.061 64.5138 26.9658 111.405
1 379.817 354.735 2 379.817 354.735 6.09268 -1.5385 22.6866
1 859.964 293.821 2 874.296 293.821 -54.6982 3.95964 87.6891
1 777.55 293.821 2 788.3 293.821 -45.6147 4.49113 97.0098
1 834.881 290.238 2 849.214 290.238 -49.8116 4.50982 86.2128
