num_cameras num_3d_landmarks num_observations
10 300 1084
5 240 361.901 440.731
6 240 354.735 440.731
8 240 336.819 437.148
7 240 343.985 437.148
9 240 329.653 433.565
5 241 901 169
7 241 934 183
8 241 952 181
5 242 108 288
7 242 133 287
8 242 145 287
5 243 488.4 350.4
7 243 487.2 350.4
9 243 486 350.4
5 244 540 343.2
7 244 540 343.2
8 244 540 343.2
9 244 540 343.2
5 245 688.32 246.24
7 245 707.04 246.24
9 245 729.216 245.376
5 246 260.64 223.2
7 246 286.56 224.64
6 246 273.6 223.2
5 247 240.48 437.76
7 247 230.4 433.44
9 247 220.8 429.6
5 248 391.68 174.24
7 248 397.44 175.68
8 248 400.32 175.68
5 249 407.52 442.08
7 249 388.8 440.64
8 249 380.16 439.2
9 249 371.52 437.76
5 250 403.2 273.6
7 250 408.96 273.6
6 250 406.08 273.6
8 250 411.84 273.6
5 251 821.146 221.875
7 251 848.103 219.802
9 251 877.133 217.728
5 252 510.603 113.467
7 252 510.603 113.467
8 252 510.603 113.467
9 252 510.603 113.467
5 253 333.504 430.272
8 253 309.312 426.816
6 253 324.864 428.544
9 253 300.672 425.088
5 254 588.902 217.728
8 254 590.976 217.728
6 254 588.902 217.728
6 255 589 226
7 255 590 226
8 255 590 226
9 255 591 226
6 256 319 299
7 256 320 299
8 256 321 299
6 257 333 288
7 257 334 288
8 257 335 288
6 258 550 296
7 258 550 296
9 258 550 296
8 258 550 296
6 259 435.6 231.6
7 259 446.4 231.6
8 259 457.2 231.6
6 260 429.6 156
7 260 432 157.2
8 260 434.4 157.2
6 261 399.6 350.4
7 261 402 350.4
8 261 404.4 350.4
6 262 918.72 188.64
7 262 936 187.2
8 262 956.16 184.32
6 263 542.88 162.72
7 263 542.88 162.72
9 263 542.88 162.72
6 264 550.08 295.2
7 264 550.08 295.2
8 264 550.08 295.2
9 264 550.08 295.2
6 265 300.672 438.912
7 265 293.76 437.184
8 265 286.848 435.456
6 266 753.408 361.152
7 266 755.136 361.152
8 266 755.136 362.88
6 267 597.888 226.368
7 267 597.888 226.368
8 267 599.616 226.368
6 268 470.707 87.0912
7 268 470.707 87.0912
8 268 470.707 87.0912
6 269 495.59 103.68
7 269 493.517 103.68
8 269 493.517 103.68
9 269 493.517 103.68
6 270 97.0445 298.598
7 270 109.486 298.598
9 270 131.881 298.598
6 271 599.685 226.437
7 271 599.685 226.437
8 271 599.685 226.437
9 271 599.685 223.949
6 272 587.244 206.531
7 272 587.244 206.531
8 272 589.732 206.531
9 272 589.732 206.531
6 273 438.94 334.43
7 273 441.926 334.43
8 273 444.912 334.43
6 274 584.059 222.157
7 274 584.059 222.157
8 274 584.059 222.157
6 275 591.225 232.907
7 275 591.225 232.907
8 275 591.225 232.907
6 276 576.892 200.658
7 276 576.892 200.658
8 276 576.892 200.658
6 277 589.2 225.6
8 277 590.4 225.6
9 277 590.4 225.6
7 277 589.2 225.6
6 278 356.659 441.677
8 278 340.07 439.603
7 278 348.365 439.603
6 279 139.2 241.2
9 279 175.2 242.4
8 279 163.2 242.4
6 280 357.6 428.4
9 280 332.4 424.8
8 280 340.8 426
6 281 598.391 214.991
9 281 601.975 218.574
7 281 601.975 218.574
8 281 601.975 218.574
7 282 425 431
8 282 416 430
9 282 407 429
7 283 455 428
8 283 446 427
9 283 438 427
7 284 256.8 416.4
8 284 250.8 415.2
9 284 244.8 412.8
7 285 489.6 256.8
8 285 500.4 256.8
9 285 511.2 256.8
7 286 352.8 288
8 286 354 288
9 286 355.2 288
7 287 441.6 228
8 287 452.4 228
9 287 463.2 228
7 288 853.632 212.544
8 288 869.184 210.816
